"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-16","23.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-17","22.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-18","23.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-19","24.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-20","26.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-21","24.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-22","21.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-23","21.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-24","25.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-25","27.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-26","28.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-27","25.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-28","21.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-29","21.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06-30","23.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-01","21.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-02","22.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-03","25.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-04","24.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-05","23.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-06","21.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-07","22.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-08","19.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-09","22.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-10","23.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-11","22.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-12","23.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-13","25.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-14","25.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-15","26.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-16","26.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-17","26.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-18","26.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-19","26.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-20","27.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-21","27.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-22","30.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-23","27.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-24","26.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-25","24.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-26","24.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-27","25.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-28","26.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-29","27.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07-30","26.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-08-01","22.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-08-02","23.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-08-03","25.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-08-04","26.1",",,W"
